,Year,Publications
99,1849,3
98,1867,3
97,1868,3
96,1894,3
95,1896,4
94,1904,4
93,1908,4
92,1924,4
91,1926,4
90,1932,4
89,1943,4
88,1946,4
87,1915,5
86,1923,5
85,1929,5
84,1939,5
83,1942,5
82,1875,6
81,1927,6
80,1945,6
79,1947,6
78,1890,7
77,1928,7
76,1936,9
75,1906,10
74,1938,10
73,1940,10
72,1937,11
71,1944,12
70,1948,14
69,1953,15
68,1957,15
67,1951,16
66,1952,18
65,1959,20
64,1950,21
63,1954,21
62,1955,22
61,1958,22
60,1960,24
59,1961,24
58,1956,25
57,1963,27
56,1949,28
55,1962,29
54,1965,29
53,1964,34
52,1966,44
51,1967,44
50,1969,53
49,1968,55
48,1970,65
47,1971,70
46,1973,77
45,1972,86
44,1974,104
43,1975,124
42,1976,157
41,1977,158
40,1978,163
39,1980,177
38,1979,182
37,1981,193
36,1982,204
35,1983,227
34,1988,258
33,1987,274
32,1985,275
31,1986,280
30,1984,297
29,1990,309
28,1989,334
27,1991,347
26,1992,363
25,1993,393
24,1994,404
23,1995,515
22,1996,533
21,1998,579
20,1997,605
19,1999,653
18,2000,736
17,2001,854
16,2002,928
15,2018,1059
14,2003,1139
13,2004,1190
12,2005,1333
11,2006,1558
10,2007,1772
9,2008,2080
8,2009,2234
7,2010,2427
6,2011,2807
5,2013,3036
4,2012,3067
3,2014,3173
2,2016,3232
1,2015,3401
0,2017,3499
